eventID,trackID,parentID,particle,time_ns,x_mm,y_mm,z_mm,energy_MeV,edep_MeV,
0,1,0,proton,0.063362,-7.3902,2.35502,-130.005,100000,hIoni,0.00324188
0,1,0,proton,0.110936,-7.3902,2.35502,-115.744,100000,hIoni,0.00308654
0,1,0,proton,0.278427,-7.3902,2.35502,-65.5332,100000,hIoni,0.0101347
0,1,0,proton,0.630463,-7.39005,2.35495,40,100000,Transportation,0.0197419
0,1,0,proton,0.631498,-7.39005,2.35495,40.3101,0,protonInelastic,1.34469
0,82,1,gamma,0.633348,-7.19149,1.94021,40,0.176213,Transportation,0
0,82,1,gamma,1.08809,41.6127,-100,-36.2332,0.176213,Transportation,0
0,82,1,gamma,1.1773,51.1878,-120,-51.1897,0.176213,Transportation,0
0,81,1,gamma,0.635807,-8.65861,2.15775,40.4551,0,phot,0.076115
0,83,81,e-,0.635895,-8.6817,2.15064,40.4592,0,eIoni,0.867602
0,80,1,neutron,0.653994,-7.25052,2.29218,40,1.23775,Transportation,0
0,80,1,neutron,14.4354,78.2274,-36.1635,-150,1.23775,Transportation,0
0,80,1,neutron,16.6114,91.7239,-42.2354,-180,1.23775,Transportation,0
0,79,1,gamma,0.67238,-18.1496,7.46678,43.1941,0.736512,compt,0
0,79,1,gamma,0.680754,-18.5129,9.56759,41.8691,0,phot,0.003175
0,85,79,e-,0.680824,-18.5196,9.58511,41.8652,0,eIoni,0.733337
0,84,79,e-,0.673393,-18.4186,7.5789,43.2777,8.87441,eBrem,0.854405
0,84,79,e-,0.675267,-18.8642,7.90461,43.3778,5.62372,eBrem,1.92606
0,84,79,e-,0.676645,-18.9515,8.08104,43.7396,1.77863,eIoni,3.84509
0,84,79,e-,0.676886,-19.0215,8.08411,43.7328,0.249908,eBrem,0.900243
0,84,79,e-,0.676904,-19.0221,8.08793,43.7324,0,eIoni,0.249908
0,88,84,gamma,0.678957,-18.9237,8.50942,43.2913,0.236968,compt,0
0,88,84,gamma,0.679777,-19.0869,8.34294,43.2135,0.236968,Rayl,0
0,88,84,gamma,0.69052,-21.2342,7.12037,41.1476,0,phot,0.076115
0,90,88,e-,0.69053,-21.2361,7.11978,41.1474,0,eIoni,0.160853
0,89,88,e-,0.678988,-18.9211,8.51546,43.2875,0,eIoni,0.391508
0,87,84,gamma,0.676585,-18.9384,8.06877,43.7296,0,phot,0.076115
