eventID,trackID,parentID,particle,time_ns,x_mm,y_mm,z_mm,energy_MeV,process,edep_MeV
0,104,78,e+,8.95074,-44.8758,-43.6307,47.5354,0.925833,conv,0.427454
0,146,135,e+,4.34022,-12.8577,-11.2533,58.3091,0,conv,1.01855
0,181,177,e+,7.24635,-39.537,45.4448,59.2024,0,conv,0.504705
0,193,175,e+,7.24861,-39.167,44.035,64.0247,0.313895,conv,0.198528
0,215,204,e+,2.47468,2.59566,-58.4008,5.49532,0,conv,0.774467
0,239,223,e+,4.45503,6.03922,-67.3805,8.51625,2.2085,conv,0.0861352
0,320,297,e+,0.663453,13.8024,-5.51014,32.9371,0.437794,conv,1.24902
0,396,392,e+,4.24556,39.6704,-53.8943,44.4073,0,conv,1.4482
0,439,407,e+,7.80206,-25.6129,-72.3094,-1.79225,0.445956,conv,0.282302
0,464,448,e+,1.64425,-23.2996,-34.1865,-3.10054,0,conv,0.587289
0,484,473,e+,1.74371,-48.1017,49.756,37.5029,0.179561,conv,0.654237
0,550,548,e+,3.87688,-16.6759,48.8118,43.0525,0,conv,0.271022
0,563,547,e+,3.92543,-4.66504,53.4521,20.223,0,conv,0.736505
0,587,574,e+,1.92885,13.904,0.0456587,47.1285,0.824101,conv,0.229403
0,690,686,e+,2.01367,9.24596,-11.0142,15.7425,0,conv,1.28575
0,720,696,e+,8.5469,8.5382,8.97437,25.3136,0,conv,0.674678
0,818,807,e+,74.5476,18.0122,-27.7253,54.699,0,conv,0.915182
0,834,828,e+,0.65878,-16.6886,3.49674,37.2264,0,conv,0.243764
0,858,845,e+,4.65883,-66.1932,16.6277,21.4237,0,conv,0.313006
0,879,865,e+,0.862358,-22.2471,-1.23423,38.0886,0,conv,0.229272
0,947,941,e+,3.0993,-2.53862,-5.75255,38.7926,0.842835,conv,1.00309
0,971,961,e+,4.09136,-1.84758,-4.39623,87.1399,0,conv,0.713257
0,984,960,e+,4.02725,-8.70211,-18.1498,70.4986,0,conv,1.2076
0,1093,1081,e+,1.47028,-8.62586,-20.2628,52.3016,0,conv,0.168778
